intersect	slope	p	BH	func	func_type	dataset
-0.000247998423423226	0.010223299689112	0.0419214330524989	0.0848301131110313	K09001	kos	ERP012177 | CRC
-9.19378127480255e-05	0.0498813429502134	0.0946796936104609	0.170474884886511	K09003	kos	ERP012177 | CRC
0.00217125532182751	-0.00874262027352129	0.112829776261368	0.197462317411696	K09005	kos	ERP012177 | CRC
-0.00345947070243859	0.0143041835405681	0.0463520322778269	0.0925047009759641	K09007	kos	ERP012177 | CRC
-5.6003767377853e-05	-0.0348739013544685	0.00294424398927669	0.00852764800889128	K09009	kos	ERP012177 | CRC
0.00493933882644306	-0.00938831117069501	0.00370855212308482	0.0104797088009218	K09014	kos	ERP012177 | CRC
-7.5092093291833e-05	0.0688948457353645	1.17874633510481e-06	2.50103064941659e-05	K09017	kos	ERP012177 | CRC
-0.00380466674782909	0.00505799575230137	0.0629225441111545	0.120744666946136	K09022	kos	ERP012177 | CRC
-9.54578723993955e-05	0.0121735675109262	0.0719033569072837	0.135182972467502	K09116	kos	ERP012177 | CRC
-0.000484892762525794	0.0137246238701051	0.000800713124071696	0.00276848650945802	K09125	kos	ERP012177 | CRC
-7.52681198332907e-05	0.0188981055663745	0.132507733319313	0.22472071732515	K09126	kos	ERP012177 | CRC
-6.92517435360399e-05	-0.00808956379154212	0.14580474836466	0.243270058400583	K09128	kos	ERP012177 | CRC
-7.97518074285991e-05	0.0365230857639169	1.42026011770721e-05	9.14009285181896e-05	K09131	kos	ERP012177 | CRC
-0.00086559213569233	0.0359951139652911	1.63692857280386e-06	3.15853569565957e-05	K09133	kos	ERP012177 | CRC
-7.69448025903916e-05	0.0226423982026594	0.105712712902573	0.187041201294481	K09137	kos	ERP012177 | CRC
-6.6490668301876e-05	-0.0116078348034622	0.0020507655303348	0.00622745553714233	K09155	kos	ERP012177 | CRC
0.000506718033478869	-0.00663697564885057	0.0477823941439873	0.0949102349435364	K09157	kos	ERP012177 | CRC
-0.000121949680022659	0.0378404284293648	6.63053930374786e-05	0.000320748972348971	K09158	kos	ERP012177 | CRC
-0.000140978189174487	0.0550675650955555	1.5242756722321e-05	9.51902977006317e-05	K09159	kos	ERP012177 | CRC
-0.000109632999403743	0.0289367952857818	0.000380735509424147	0.00143978220352734	K09160	kos	ERP012177 | CRC
-0.000143594050256738	0.0572971031995862	9.42963767907672e-06	6.92302513147405e-05	K09161	kos	ERP012177 | CRC
-0.00051713187575627	0.0174933336724681	0.0141429838218083	0.0333452464091415	K09251	kos	ERP012177 | CRC
0.00180102111105514	-0.00743674674296258	0.0692549971541123	0.131148242285871	K09384	kos	ERP012177 | CRC
-7.51607050721125e-05	0.0656363595630061	2.1176490631561e-06	3.56010567139287e-05	K09456	kos	ERP012177 | CRC
-0.00172480716246952	0.00593980685482854	0.115254927973892	0.200819701764497	K09457	kos	ERP012177 | CRC
0.000389767123641866	-0.0184350046988415	0.0119139047059621	0.0286279222349374	K09459	kos	ERP012177 | CRC
-7.50237013382243e-05	0.0290967842959575	0.0897970834613604	0.163075721041375	K09470	kos	ERP012177 | CRC
-8.34200283305605e-05	0.0429569237513853	0.00249341152396219	0.0073831713281331	K09472	kos	ERP012177 | CRC
-7.5019991006599e-05	0.0335543336045644	0.068381314700252	0.129717620690584	K09473	kos	ERP012177 | CRC
-7.52133153519618e-05	0.0476107444234163	5.49549702164646e-05	0.000273302317046512	K09475	kos	ERP012177 | CRC
-7.50796719921454e-05	0.0462962976274971	6.79487832916956e-05	0.000327736335211505	K09476	kos	ERP012177 | CRC
-7.51624561785595e-05	0.0768127163050474	1.85791504471179e-05	0.000112689226241342	K09477	kos	ERP012177 | CRC
-7.52509224247291e-05	0.0633060977365388	3.2250115317702e-06	4.48025554114183e-05	K09612	kos	ERP012177 | CRC
0.000234741291669411	-0.0118667428465829	0.0263205144439272	0.0566978584121738	K09685	kos	ERP012177 | CRC
-0.000140816900472372	0.0126707522336277	0.0190627881359033	0.0430839439603464	K09691	kos	ERP012177 | CRC
-7.50210418494553e-05	0.0530009320005641	0.0196724562095468	0.0441393601606854	K09701	kos	ERP012177 | CRC
-0.000695259667925067	0.0152718799298892	0.0012630265940273	0.00411837202831109	K09702	kos	ERP012177 | CRC
7.62192909285833e-05	-0.0187261413002946	0.0184819763642464	0.0419346554181435	K09705	kos	ERP012177 | CRC
-0.000255002887626969	0.016540820048801	0.00391339323860418	0.0110170588413157	K09707	kos	ERP012177 | CRC
